topic,word,score
0,climate change,0.07310436871391686
0,climatecrisis,0.0394100140069
0,climatechange,0.03866334081628965
0,earth,0.034640303932306944
0,action,0.03212576601669099
0,nature,0.0287485445450785
0,climateaction,0.0287485445450785
0,crisis,0.02846278789387222
0,climate crisis,0.026712840840457292
0,climate action,0.026254964357332523
1,renewables,0.06701586340158812
1,magazine,0.05618683016505872
1,renewable,0.05618091796187287
1,wind,0.051459860316665273
1,renewableenergy,0.05021602334349671
1,storage,0.045797824592937346
1,revolution,0.045452782011602424
1,lithium,0.0380966153995521
1,solarenergy,0.0380966153995521
1,renewable energy,0.03734736487511608
2,clean energy,0.051989848192118084
2,gas,0.04776783359558404
2,oil,0.0410862161978456
2,emissions,0.033347846183863654
2,fuels,0.03255153897749271
2,fossil fuels,0.032188382472489584
2,jobs,0.030189356636732938
2,coal,0.030042490307656943
2,hydrogen,0.025459003300974448
2,building,0.02441365423311953
3,capture,0.057627334356790454
3,carbon capture,0.05336409513139283
3,biodiversity,0.0416334345961673
3,emissions,0.03996211924711722
3,soil,0.0331240979102091
3,markets,0.031184467869321487
3,north,0.030645746741476434
3,nature,0.026266331122818974
3,world bank,0.026116575911920858
3,bank,0.02543965215264225
4,circular,0.10252543367380061
4,waste,0.07886571821061586
4,circular economy,0.07167015089166934
4,packaging,0.0690551366964281
4,circulareconomy,0.0619136392539555
4,design,0.03649325133790703
4,products,0.03571000352207282
4,recycling,0.03270306439161162
4,building,0.028650320675251712
4,circularity,0.028223471585888723
5,climate tech,0.05664810145433932
5,netzero,0.05601131272659834
5,emissions,0.0413874524303037
5,eu,0.034679535553845016
5,european parliament,0.028816963016930368
5,zero carbon,0.027048078619479464
5,investors,0.026347010948046926
5,policies,0.026347010948046926
5,series,0.026347010948046926
5,fund,0.026347010948046926
6,heat,0.0898142907432465
6,poverty,0.04617804434962793
6,heating,0.044366673282922445
6,energy transition,0.041331642824014525
6,eu,0.03844316233783698
6,investment,0.03632305786069172
6,sector,0.035916256716377284
6,clean energy,0.03589129427327132
6,advisory,0.03498074404603523
6,eu energy,0.03498074404603523
7,nuclear,0.35364702460865566
7,nuclear energy,0.10395980240762391
7,nuclear power,0.08981301399210907
7,germany,0.07185041119368726
7,plants,0.05873973488801011
7,power plants,0.04055495763264626
7,association,0.0393757606056653
7,department energy,0.0393757606056653
7,department,0.03835516786090678
7,john,0.03592520559684363
