topic,word,score
0,sunak,0.055550184520918706
0,rishi,0.022700581636516323
0,rishi sunak,0.02166076901844167
0,tory,0.01644974570539353
0,tories,0.012948133655010392
0,petrol,0.012845143183571384
0,gove,0.012053354005403387
0,petrol diesel,0.011704761763310378
0,diesel,0.011409097130977165
0,starmer,0.011230239081424296
1,albanese,0.01867469664954113
1,voice,0.016898615034464864
1,labor,0.016195256939970145
1,greens,0.01421416818301267
1,police,0.013072883745021528
1,australians,0.012535175973688892
1,nsw,0.011931205751886454
1,indigenous,0.011505415539473797
1,sydney,0.011377098794013007
1,senate,0.011017821989991542
2,summit,0.024172295423686103
2,amazon,0.021322767800470134
2,assembly,0.018649436880510573
2,general assembly,0.018007812108290746
2,africa,0.017044009270788866
2,zelenskiy,0.015473208793464973
2,debt,0.014773359467748015
2,lula,0.01471017685109324
2,nations,0.013704044337191267
2,peace,0.01363614223823009
3,johnson,0.026829578262854262
3,sunak,0.020410669085849615
3,tory,0.017599301535652877
3,tories,0.016398332226853187
3,boris,0.016231261576685686
3,mps,0.01570446729078399
3,starmer,0.014934484781513293
3,boris johnson,0.01491714294391031
3,snp,0.013789592370252884
3,rishi,0.01169372339276394
4,vapes,0.02072966002652919
4,hoarding,0.015043772091270814
4,single use,0.013802178174018936
4,allergies,0.013559335370561901
4,dog,0.013207755340224048
4,allergy,0.013197471087075315
4,wilson,0.013195054702679882
4,plastic,0.012411875800892988
4,sex,0.011510417265448528
4,toilet,0.010839709710322255
5,cop,0.032805564992780714
5,uae,0.01931334201146807
5,musk,0.019201843564941003
5,jaber,0.01797486559316048
5,al jaber,0.01797486559316048
5,lobbyists,0.017166410656933813
5,al,0.01692794103751378
5,twitter,0.013232627946209817
5,adnoc,0.012582858229074128
5,shell,0.012144812596222791
6,bank,0.01857342601588564
6,starmer,0.01542097876452051
6,uaw,0.01190725042419378
6,strike,0.01058624827120191
6,gdp,0.009890843484187345
6,sunak,0.009663166173222467
6,reeves,0.009358949566395028
6,rose,0.008909324067799132
6,oxford,0.008268913525465929
