Topic,Count,Name,Representation,Representative_Docs
0,182,0_climate change_climatecrisis_climatechange_earth,"['climate change', 'climatecrisis', 'climatechange', 'earth', 'action', 'nature', 'climateaction', 'crisis', 'climate crisis', 'climate action']",science states that climate change is a threat now and will be worse in the future climate deniers disagree which group will you place the future of your family in climatebrawl climatecrisis climateemergency dr gerald kutney climate politic | climate change has become a major factor in the rapid warming of heat and land and the immense loss of biodiversity on the planet kpcg pacja climateaction climatecrisis climatejustice kenya platform for climate governance april | climate change is threatening your favorite chocolate bar here s how with nowthis impact april
1,146,1_renewables_magazine_renewable_wind,"['renewables', 'magazine', 'renewable', 'wind', 'renewableenergy', 'storage', 'revolution', 'lithium', 'solarenergy', 'renewable energy']",india s largest oil company targest gw of renewables by state owned oil and natural gas corp ongc said it plans to invest inr billion billion to build gw of renewable energy renewableenergy solarenergy sustainability pv magazine april | energy revolution tesla master plan part and hungry robots will there be enough lithium for all trrxf tnrgold tnr v royalties marianalithium ganfeng lithium renewables evs electriccars energystorage batteries solar wind drones kirill klip g | revolution decentralised energy solar wind now we can store electricity and use it when we need it lithium will power us for the next years then robots tesla optimus ai evs renewables ess energy evsmassmarket tsla lit batt kirill klip gold 
2,137,2_clean energy_gas_oil_emissions,"['clean energy', 'gas', 'oil', 'emissions', 'fuels', 'fossil fuels', 'jobs', 'coal', 'hydrogen', 'building']",does the energy in your home come from oil coal or gas switching to renewable energy sources such as wind or solar can reduce your carbon footprint and help protect our planet get more climateaction ideas for a sustainable future united nat | breaking g ministers agreed to cut natural gas consumption and increase electricity from renewable sources while phasing out fossil fuels faster and building no new coal fired plants g canada france germany italy japan uk us eu mark z jacob | when we invest in clean energy we invest in america since taking office and i have created more than million good paying jobs and american manufacturing is growing faster than it has in decades vice president kamala harris archived april
3,101,3_capture_carbon capture_biodiversity_emissions,"['capture', 'carbon capture', 'biodiversity', 'emissions', 'soil', 'markets', 'north', 'nature', 'world bank', 'bank']",north america s largest carbon capture machine was unveiled in colorado via sammy roth april | bioenergy with carbon capture and storage beccs permanently removes carbon from the atmosphere but how drax april | carbon capture is a gimmick to keep fossil fuels flowing even as planet burns saudi arabia and russia have called on the world bank to ramp up its financial support for carbon capture and storage go green april
4,84,4_circular_waste_circular economy_packaging,"['circular', 'waste', 'circular economy', 'packaging', 'circulareconomy', 'design', 'products', 'recycling', 'building', 'circularity']",ecrs in sustainability science circulareconomy what is circular economy how does it work let s find out together future earth taipei march | join us for circular economy in the built environment on rd may hosted by engineers and architects will discuss how they apply the principles of the circular economy to how buildings and infrastructure are designed tickets available club pe | not long left to register for cohort of the circular economy masterclass this fantastic programme is designed to equip you with the skills and knowledge to implement circulareconomy principles in your business registrations close on april e
5,73,5_climate tech_netzero_emissions_eu,"['climate tech', 'netzero', 'emissions', 'eu', 'european parliament', 'zero carbon', 'investors', 'policies', 'series', 'fund']",to all climate tech founders looking for support in their fundraising journey our friends have launched a series of online events on getting vc ready where you can meet and learn from vcs founders in the climate tech space details climate c | meps have adopted the reform of the eu s emissions trading system including for aviation and maritime the carbon border adjustment mechanism and a new social climate fund european parliament april | join us for a series of conversations with investors from leading climate tech vcs in the world free and open to the public climate tech conversations venture capital tickets tue apr at pm eventbrite matt haggman april
6,72,6_heat_poverty_heating_energy transition,"['heat', 'poverty', 'heating', 'energy transition', 'eu', 'investment', 'sector', 'clean energy', 'advisory', 'eu energy']",for the epah lunch talk and ranas organisation will share their work on the empowerment of vulnerable consumers and systemic behaviour change as key components for tackling energypoverty register to participate eu energy poverty advisory hu | day before the next epah lunch talk dedicated to behaviour change to tackle energypoverty you can still register to join us and share your experience on energy behaviour and supporting vulnerable consumers with their energyconsumption eu en | heat pumps crowding out fossil fuel heating systems heat pump sales now rivalling fossil fuel based heating systems in some markets around the world shows at current rate heat pumps would nearly double their share of heating in buildings by
7,44,7_nuclear_nuclear energy_nuclear power_germany,"['nuclear', 'nuclear energy', 'nuclear power', 'germany', 'plants', 'power plants', 'association', 'department energy', 'department', 'john']",industry link spring is out in this bumper edition you can read about nuclear s green credentials and smr amr plans decarbonising transport using nuclear give it a read at nuclear innovation netzero nuclear industry association april | yee haw india approves installation of new nuclear reactors in five states two reactors will each be installed in kaiga chutka and gorakhpur nuclear power plants while mahi banswara nuclear plant will get four reactors uranium john quakes a | just how clean and sustainable is nuclear let us count the ways office of nuclear energy us department of energy april
